
"Umstze Girokonto";"Zeitraum: 01.01.2023 - 31.12.2023";


"Buchungstag";"Wertstellung (Valuta)";"Vorgang";"Buchungstext";"Umsatz in EUR";
"11.12.2023";"11.12.2023";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank//Ottobrunn/DE 2023-12-09T10:42:16 KFN 0 VJ 2312 Ref. 8M2C1MI329MXI5FV/63311";"-300,00";
"20.11.2023";"20.11.2023";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank//Ottobrunn/DE 2023-11-20T09:27:48 KFN 1 VJ 2312 Ref. AS2C1MFK336ZAFEN/29529";"-100,00";
"13.11.2023";"13.11.2023";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank//Ottobrunn/DE 2023-11-11T10:52:27 KFN 0 VJ 2312 Ref. 5U2C1MFD2H00J6L0/50624";"-200,00";
"30.10.2023";"30.10.2023";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank//Ottobrunn/DE 2023-10-28T11:50:34 KFN 0 VJ 2312 Ref. 0E2C1MD22EVU7G63/39934";"-300,00";
"16.10.2023";"16.10.2023";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank//Ottobrunn/DE 2023-10-15T09:24:39 KFN 0 VJ 2312 Ref. 6J2C1MCO28VPEFAV/27534";"-600,00";
"03.10.2023";"03.10.2023";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank//Ottobrunn/DE 2023-09-30T10:35:33 KFN 0 VJ 2312 Ref. 942C1MCB2CYDCXOA/97961";"-300,00";
"27.09.2023";"27.09.2023";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank//Ottobrunn/DE 2023-09-26T16:04:55 KFN 1 VJ 2312 Ref. 9Y2C1MA726VFFTFV/18347";"-100,00";
"08.09.2023";"08.09.2023";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank//Ottobrunn/DE 2023-09-07T15:48:09 KFN 1 VJ 2312 Ref. 8Y2C1M9O279NDWNG/31258";"-50,00";
"11.08.2023";"11.08.2023";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank//Ottobrunn/DE 2023-08-10T18:11:26 KFN 0 VJ 2312 Ref. 6D2C1M6Z278S1T7A/9347";"-500,00";
"09.08.2023";"09.08.2023";"Auszahlung GAA";"Auftraggeber: DEUTSCHE BANK Buchungstext: Bargeldauszahlung Deutsche Bank//Ottobrunn/DE 2023-08-08T14:02:59 KFN 1 VJ 2312 Ref. 9S2C1M6X28EVBU6P/32443";"-100,00";
